set1_x,set1_y,set2_x,set2_y,ana_t1_x,ana_t1_y,ana_t26_x,ana_t26_y
-297.8,104.5,0,86.3,-797.2665148,71.20921305,-985.4968077,61.90565273
-469.4,94.6,0,101.3,-748.2915718,72.2840691,-960.2634027,63.52929091
-790.1,46.7,-126,94.7,-687.7426289,74.02881782,-935.4887869,65.09880782
-798.7,37.4,-260.3,85.7,-663.0189897,74.72036742,-910.255382,66.722446
-854.8,0,-412.4,82.7,-637.7346081,75.54421346,-885.021977,68.34608418
-939.3,0,-559.6,78.6,-611.8130193,76.24779,-860.2473612,70.07796491
,,-678.3,49.6,-587.4644221,76.92817172,-835.0139562,71.53923927
,,-659.9,27.2,-561.575604,77.8763483,-808.5571134,73.21699873
,,-735.6,0,-536.1128044,78.41264091,-783.3237084,74.84063691
,,-835.7,0,-511.108794,79.17033873,-758.0903034,76.46427509
,,,,-486.1047836,79.92803655,-732.4745741,78.08791328
,,,,-459.8773354,80.61357267,-706.8588448,79.71155146
,,,,-431.5853359,81.48552651,-681.6254398,81.33518964
,,,,-405.5872822,82.19152406,-656.3920348,82.95882782
,,,,-355.3498669,83.71652564,-630.3939812,84.58246601
,,,,-329.1224186,84.40206176,-605.1605762,86.20610419
,,,,-300.8304191,85.30408298,-579.9271712,87.82974237
,,,,-224.6204384,87.52906863,-554.6937662,89.45338055
,,,,-197.8577361,88.2506856,-529.4603613,91.07701873
,,,,-172.879214,89.03243732,-504.6857455,92.64653564
,,,,-146.1165118,89.75405429,-479.7581999,94.26416035
,,,,-96.66923332,91.25742298,-452.3264301,96.01558487
,,,,-69.90653106,91.97903995,-428.9855305,97.51745019
,,,,-45.43777471,92.70065692,-402.1463634,99.19520965
,,,,-20.43376432,93.45835473,-376.9129584,100.8188478
,,,,0,94.04990403,-351.6795534,102.442486
,,,,,,-326.4461484,104.0661242
,,,,,,-309.2415541,105.1485496
,,,,,,-275.5970141,107.3134006
,,,,,,-250.3636091,108.9370387
,,,,,,-223.9067663,110.6147982
,,,,,,-199.1321505,112.1843151
,,,,,,-173.8987455,113.8079533
,,,,,,-148.6653406,115.4315915
,,,,,,-123.4319356,117.0552297
,,,,,,-98.65731977,118.6247466
,,,,,,-72.20047697,120.302506
,,,,,,-46.96707198,121.9261442
,,,,,,-21.733667,123.5497824
,,,,,,0,124.9520154
